ï»¿X;Y;FID;AÃ±o;IdAccident;Latitud;longitud;ClaseAccid;Fecha;Hora;RegiÃ³n;Comuna;Tipo_Accid;Tipo__CONA;Zona;UbicaciÃ³n;Causa__CON;Causa_Acci;Calle_Uno;Calle_Dos;Intersecci;NÃºmero;Ruta;Ubicaci_1;Calzada;Tipo_Calza;Estado_Cal;CondiciÃ³n;Estado_Atm;Fallecidos;Graves;Menos_Grav;Leves
-7872194,568;-3954317,948;5902;2024;1602568;-33,443483;-70,717127;1;2024/04/07 00:00:00+00;1899/12/30 00:00:00+00;REGION METROPOLITANA;LO PRADO;COLISION PERPENDICULAR;COLISION;URBANA;CRUCE CON SENAL PARE;DESOBEDIENCIA A SENALIZACION;SENALIZACION DESOBEDECER SENAL PARE;SAN PABLO;STA OLGA;SAN PABLO - STA OLGA;0;;;BIDIRECCIONAL;ASFALTO;BUENO;SECO;DESPEJADO;0;0;0;1
-7858708,768;-3979383,636;5903;2024;1602570;-33,631167;-70,595982;1;2024/04/07 00:00:00+00;1899/12/30 00:00:00+00;REGION METROPOLITANA;PUENTE ALTO;COLISION FRONTAL;COLISION;URBANA;TRAMO DE VIA RECTA;IMPRUDENCIA DEL CONDUCTOR;CONDUCIR VEHICULO EN RETROCESO;CAMINO INTERNACIONAL;LA SERENA;CAMINO INTERNACIONAL - LA SERENA;0;;;BIDIRECCIONAL;ASFALTO;BUENO;SECO;DESPEJADO;0;0;0;0
-7880991,813;-3970237,79;5904;2024;1602572;-33,562733;-70,796154;1;2024/03/24 00:00:00+00;1899/12/30 00:00:00+00;REGION METROPOLITANA;PADRE HURTADO;COLISION;COLISION;URBANA;CRUCE CON SENAL PARE;DESOBEDIENCIA A SENALIZACION;SENALIZACION DESOBEDECER SENAL PARE;PRIMERA TRANSVERSAL;TERCERA AVENIDA;PRIMERA TRANSVERSAL - TERCERA AVENIDA;0;;;UNIDIRECCIONAL;CONCRETO;BUENO;SECO;DESPEJADO;0;0;0;3
-7856609,394;-3975600,475;5905;2024;1602576;-33,602866;-70,577123;1;2024/04/08 00:00:00+00;1899/12/30 00:00:00+00;REGION METROPOLITANA;PUENTE ALTO;COLISION LATERAL;COLISION;URBANA;TRAMO DE VIA RECTA;IMPRUDENCIA DEL CONDUCTOR;CONDUCCION CAMBIAR SORPRESIVAMENTE PISTA CIRCULACION;ARCO IRIS;ACCESO SUR;ACCESO SUR - ARCO IRIS;0;;;BIDIRECCIONAL;ASFALTO;BUENO;SECO;DESPEJADO;0;0;0;0
-7874566,198;-3952493,388;5906;2024;1602579;-33,429805;-70,738432;1;2024/04/08 00:00:00+00;1899/12/30 00:00:00+00;REGION METROPOLITANA;CERRO NAVIA;COLISION POR ALCANCE;COLISION;URBANA;CRUCE CON SENAL PARE;IMPRUDENCIA DEL CONDUCTOR;CONDUCCION SIN MANTENER DISTANCIA RAZONABLE NI PRUDENTE;JOSE JOAQUIN PEREZ;HUELEN;HUELEN - JOSE JOAQUIN PEREZ;0;;;BIDIRECCIONAL;ASFALTO;BUENO;SECO;DESPEJADO;0;0;0;1
-7874364,853;-3992545,689;5907;2024;1602581;-33,729557;-70,736623;1;2024/03/24 00:00:00+00;1899/12/30 00:00:00+00;REGION METROPOLITANA;BUIN;CHOQUE POSTERIOR/FRENTE;CHOQUE;URBANA;TRAMO DE VIA RECTA;IMPRUDENCIA DEL CONDUCTOR;CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO;LONGITUDINAL SUR;;- LONGITUDINAL SUR;190;;;BIDIRECCIONAL;ASFALTO;REGULAR;SECO;DESPEJADO;0;0;0;0
-7855044,91;-3970811,447;5908;2024;1602588;-33,567027;-70,563069;1;2024/04/03 00:00:00+00;1899/12/30 00:00:00+00;REGION METROPOLITANA;PUENTE ALTO;COLISION LATERAL;COLISION;URBANA;TRAMO DE VIA RECTA;IMPRUDENCIA DEL CONDUCTOR;CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO;LOS TOROS;LAS NIEVES ORIENTE;LAS NIEVES ORIENTE - LOS TOROS;0;;;BIDIRECCIONAL;CONCRETO;BUENO;SECO;DESPEJADO;0;0;0;0
-7892880,624;-3976607,601;5909;2024;1602589;-33,610401;-70,902953;1;2024/03/24 00:00:00+00;1899/12/30 00:00:00+00;REGION METROPOLITANA;PENAFLOR;ATROPELLO;ATROPELLO;URBANA;TRAMO DE VIA RECTA;IMPRUDENCIA DEL CONDUCTOR;CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO;JOSE MIGUEL CARRERA;;- JOSE MIGUEL CARRERA;214;;;BIDIRECCIONAL;ASFALTO;REGULAR;SECO;DESPEJADO;0;1;1;0
-7863342,988;-3976606,402;5910;2024;1602594;-33,610392;-70,637612;1;2024/04/05 00:00:00+00;1899/12/30 00:00:00+00;REGION METROPOLITANA;LA PINTANA;CHOQUE POSTERIOR/FRENTE;CHOQUE;URBANA;CRUCE CON SENAL PARE;IMPRUDENCIA DEL CONDUCTOR;CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO;CAMINO EL MARISCAL;LOS DURAZNOS;CAMINO EL MARISCAL - LOS DURAZNOS;0;;;BIDIRECCIONAL;ASFALTO;REGULAR;SECO;DESPEJADO;0;0;0;0
-7888277,117;-3978180,819;5911;2024;1602598;-33,62217;-70,861599;1;2024/03/26 00:00:00+00;1899/12/30 00:00:00+00;REGION METROPOLITANA;PENAFLOR;COLISION LATERAL;COLISION;URBANA;CRUCE CON SENAL PARE;DESOBEDIENCIA A SENALIZACION;SENALIZACION DESOBEDECER SENAL PARE;SAN JAVIER;CALETERA AUTOPISTA DEL SOL;CALETERA AUTOPISTA DEL SOL - SAN JAVIER;0;;;BIDIRECCIONAL;ASFALTO;BUENO;SECO;DESPEJADO;0;0;0;0
